CUSTOMER_ID,CITY,GENDER,MARITAL_STATUS,CHILDREN_COUNT,AVG_AMT,AVG_QUANTITY,FREQ_SUBCAT,MEAN_PROFIT,AVERAGE_MONTHLY_SPENDING,DAY_DIFF,TOTAL_TRANS,AGE,SPEND_RANK
151221,10016,0,0,0,41.19485294,4.014706,2,8.421348315,297.1825914,51,68,61,1
53731,10016,2,2,1,40.73828125,4.28125,2,7.501104972,283.2014455,33,64,48,1
85296,10016,1,0,0,40.75,4.283333,2,7.82037037,260.6801238,56,60,29,1
62535,10016,0,1,0,42.11507937,4.15873,2,8.005847953,274.6752702,55,63,67,1
84534,10016,0,1,1,44.69298246,4.807018,2,7.521875,322.1865117,9,57,24,1
170468,10016,1,0,0,40.81153846,4.061538,2,7.797443182,307.2865938,82,65,41,1
52758,10016,1,0,2,41.99390244,4.280488,2,7.967647059,356.1160447,24,82,25,1
151858,10016,0,1,2,39.25367647,4.294118,2,7.774468085,305.0120327,23,68,49,1
167375,10016,0,1,3,41.80555556,4.236111,2,7.56275,320.2869089,84,72,26,1
197700,10016,1,0,0,45.52358491,4.641509,2,7.812012987,273.7761357,79,53,80,1
153362,10016,0,0,0,42.56349206,4.444444,2,7.56,297.9541155,135,63,64,1
138476,10016,0,0,0,45.54090909,4.763636,2,7.318965517,286.6687458,37,55,21,1
155363,10016,1,0,0,40.53767123,4.328767,2,7.834577114,305.5893658,87,73,32,1
28739,10016,1,0,0,39.96774194,4.290323,2,7.616463415,267.9041035,102,62,43,1
127463,10016,0,0,2,37.75,4.152542,2,7.4203125,261.1060844,75,59,41,1
162076,10016,0,0,0,46.17028986,4.884058,2,7.522453704,360.2010342,153,69,49,1
127007,10016,0,1,2,39.875,4.34375,2,7.287569061,286.8472898,60,64,76,1
29608,10016,0,3,0,41.10169492,4.440678,2,7.890060241,271.1013008,23,59,66,1
142379,10016,0,3,0,41.45833333,4.305556,2,8.011597938,302.4704947,39,72,62,1
155491,10016,2,0,1,43.97131148,4.639344,2,7.919075145,288.2569348,82,61,67,1
193558,10016,1,0,0,37.35820896,4.134328,2,7.00467033,261.8430941,41,67,37,1
60434,10016,2,0,0,41.26027397,4.493151,2,7.401213592,320.7142937,67,73,29,1
163540,10016,1,1,4,48.11320755,5.264151,2,7.693113773,303.3596088,51,53,40,1
58189,10016,0,1,2,38.02573529,4.161765,2,7.255347594,298.4203194,9,68,72,1
54813,10016,1,0,0,42.38846154,4.123077,2,8.228448276,294.0797339,102,65,62,1
47008,10016,1,0,0,41.88970588,4.382353,2,8.182303371,277.0532891,11,68,18,1
138066,10016,0,0,0,42.23214286,4.271429,2,7.628608247,300.7074693,79,70,24,1
92958,10016,2,3,0,40.42647059,4.338235,2,7.385978836,304.5796968,42,68,36,1
74642,10016,1,1,1,41.76315789,4.552632,2,7.59627907,356.7892446,155,76,76,1
56514,10016,2,0,0,44.53070175,4.596491,2,8.006441718,270.9935567,20,57,67,1
157409,10016,0,3,0,40.54477612,4.119403,2,8.341428571,289.3391384,96,67,40,1
142140,10016,2,1,1,40.23809524,3.904762,2,7.411077844,275.8662571,71,63,19,1
116182,10016,0,3,0,40.25,4.157143,2,7.665469613,277.5019525,66,70,71,1
12757,10016,1,0,1,44.49152542,4.576271,2,8.053508772,285.6661633,84,59,39,1
121115,10016,0,1,2,43.52777778,4.619048,2,7.729050279,285.4112197,36,63,70,1
56690,10016,0,0,0,42.42741935,4.225806,2,8.649096386,268.9194865,24,62,33,1
158747,10016,1,0,2,37.63333333,4.633333,2,6.810614525,268.5052357,18,60,31,1
70509,10016,2,3,0,39.70192308,4.596154,2,6.663782051,263.2090718,47,52,56,1
148473,10016,1,0,2,39.93181818,4.072727,2,7.527124183,272.4586729,19,55,74,1
116916,10016,0,1,0,40.66666667,4.378788,2,7.931481482,285.049057,60,66,65,1
95900,10016,1,1,2,37.5890411,4.068493,2,7.095618557,285.8006323,90,73,69,1
74555,10016,2,1,2,39.04545455,4.166667,2,7.076595745,268.1794393,44,66,74,1
17594,10016,1,1,4,44.60984848,4.484848,2,8.276388889,326.6051284,51,66,79,1
64792,10016,0,1,5,41.85384615,4.476923,2,8.171764706,269.42396,64,65,40,1
116646,10016,0,0,0,46.70833333,4.909091,2,8,350.6785562,56,66,64,1
143309,10016,0,0,0,43.75877193,4.807018,2,7.853915663,278.9591612,119,57,59,1
171767,10016,1,1,0,40.10810811,4.067568,2,7.749222798,293.9127826,89,74,78,1
43227,10016,0,1,0,38.47014925,4.059701,2,7.724444444,272.4076941,19,67,38,1
170017,10016,1,2,2,42.06,4.546667,2,8.070772947,331.8080519,33,75,33,1
178105,10016,1,1,1,47.16015625,4.90625,2,8.04871134,380.981623,72,64,61,1
194068,10016,0,1,1,39.11904762,4.079365,2,7.519760479,276.5467916,98,63,57,1
59101,10016,1,1,2,44.70338983,4.711864,2,7.463483146,349.2649748,132,59,22,1
91256,10016,0,2,2,48.98584906,5.283019,2,8.843396226,324.4349723,190,53,51,1
71915,10016,1,1,2,43.01923077,4.615385,2,7.967013889,262.031176,53,52,36,1
102011,10016,1,0,0,42.62903226,4.435484,2,8.586390533,279.5941227,179,62,33,1
194234,10016,0,1,2,38.1733871,4.209677,2,7.327380952,264.5603549,53,62,66,1
137647,10016,1,1,2,42.10144928,4.956522,2,7.351401869,351.1305984,149,69,32,1
142540,10016,0,3,0,46.05357143,5,2,7.538920455,301.2536558,136,56,60,1
120696,10016,1,0,0,38.44852941,4.220588,2,7.425824176,281.3594774,39,68,53,1
185201,10016,0,1,0,43.22265625,4.671875,2,8.19010989,272.9343757,104,64,46,1
63836,10016,1,1,3,44.53308824,4.5,2,8.594892473,318.7790058,10,68,75,1
145312,10016,0,3,0,39.29296875,4.46875,2,7.477808989,268.9802002,32,64,48,1
148077,10016,0,0,0,38.61666667,4.4,2,7.486686391,273.3780821,46,60,41,1
17448,10016,1,0,0,39.8875,4.15,2,7.658181818,263.5966183,34,60,41,1
154363,10016,1,3,0,42.65217391,4.463768,2,8.06056701,311.2812058,62,69,58,1
147542,10016,1,1,0,42.47881356,4.40678,2,7.818862275,270.2121504,182,59,20,1
64129,10016,0,1,2,40.04098361,4.540984,2,7.21954023,266.1247573,31,61,74,1
119673,10016,1,1,4,37.2112069,4.137931,2,7.169018405,262.8671875,33,58,76,1
116105,10016,1,0,0,41.94262295,4.245902,2,7.758083832,273.5757862,41,61,52,1
146372,10016,1,2,4,39.23461538,4.061538,1,7.679824561,310.2929862,29,65,32,1
96562,10016,1,3,0,37.40753425,3.780822,2,7.502702703,271.1830108,50,73,63,1
81585,10016,0,0,0,38.08984375,4.109375,2,7.450877193,265.7431955,197,64,21,1
109126,10016,0,1,2,42.6557377,4.819672,2,7.922752809,283.7500526,150,61,71,1
38761,10016,0,1,4,43.32258065,4.596774,2,8.012356322,326.5,109,62,50,1
70821,10016,2,0,0,42.48412698,4.619048,2,8.237643678,285.0746603,134,63,46,1
20533,10016,1,3,0,39.5952381,4.269841,2,7.433815029,272.6411028,88,63,36,1
52902,10016,0,2,1,39.38983051,4.372881,2,7.438787879,269.9994932,88,59,29,1
93623,10016,1,1,5,39.02272727,4.5,2,7.238297872,292.152568,48,66,67,1
56572,10016,0,0,0,39.63362069,4.448276,2,6.670454546,265.2996614,43,58,75,1
192068,10016,0,1,0,41.37847222,4.069444,2,8.248360656,304.7314567,107,72,17,1
195499,10016,0,0,0,43.76639344,4.639344,2,7.843220339,272.0805731,46,61,34,1
157533,10016,1,2,1,43.77966102,4.644068,2,7.409116022,304.0208804,68,59,69,1
129671,10016,0,0,0,40.48245614,4.245614,2,8.509797297,263.9135478,88,57,22,1
75123,10016,0,0,0,49.09722222,4.759259,2,8.771835443,286.5838535,40,54,39,1
55199,10016,0,1,0,37.51953125,4.296875,2,6.894148936,267.2394189,15,64,37,1
170010,10016,1,0,0,41.16118421,4.105263,2,7.714460784,325.4900143,45,76,69,1
138684,10016,0,0,0,42.8375,4.433333,2,8.176060606,322.7267205,34,60,46,1
33910,10016,1,2,1,41.42424242,4.19697,2,7.662983425,279.3054884,92,66,24,1
148659,10016,2,3,0,43.36904762,4.84127,2,7.830662983,316.8900459,143,63,78,1
77050,10016,0,1,1,42.70075758,4.166667,2,7.47032967,289.4178148,106,66,80,1
110202,10016,0,1,3,42.84375,4.65625,2,7.959677419,354.042977,84,64,72,1
54778,10016,0,1,3,42.64516129,4.564516,2,7.915142857,279.5738231,89,62,69,1
14662,10016,0,3,0,42.5530303,4.5,2,8.191160221,285.4789628,47,66,18,1
71179,10016,0,1,2,46.48046875,4.5,2,8.702777778,302.3285057,66,64,74,1
31827,10016,1,1,2,38.78731343,4.358209,2,7.966011236,264.22287,96,67,61,1
193370,10016,0,1,4,39.70289855,4.086957,2,7.682065217,286.4842294,31,69,19,1
133056,10016,0,0,0,43.98412698,4.52381,2,7.631420765,308.6673999,37,63,43,1
79209,10016,0,0,1,41.46153846,4.353846,2,7.501657459,287.0055063,137,65,71,1
61039,10016,1,0,0,41.24561404,4.017544,2,7.758389262,263.0152808,35,57,20,1
42015,10016,1,2,3,44.70588235,4.862745,2,7.74483871,280.8795237,68,51,66,1
136159,10016,1,0,2,36.05633803,3.746479,2,7.156388889,275.0443136,32,71,29,1
24456,10016,0,0,0,39.53125,4.421875,0,7.055027933,266.4123473,66,64,50,1
48976,10016,1,0,0,45.14285714,4.460317,2,8.312,329.0326714,86,63,33,1
134894,10016,0,0,0,42.02542373,4.20339,2,8.027777778,271.1913417,89,59,28,1
43534,10016,1,1,2,42.18253968,4.174603,2,7.984943182,279.0950123,72,63,33,1
148419,10016,1,1,3,44.66666667,4.6,2,8.041907515,319.8260477,23,60,56,1
181534,10016,2,1,1,44.18518519,5.018519,2,7.119364162,286.719666,108,54,38,1
51708,10016,0,1,4,39.39925373,4.477612,1,7.246683674,300.0658336,56,67,74,1
83334,10016,2,0,2,43.39583333,4.333333,2,8.320125786,283.0956271,54,60,75,1
126503,10016,0,0,0,42.15384615,4.169231,2,8.114705882,276.2703903,75,65,61,1
100775,10016,0,2,2,43.94354839,4.741935,2,7.800810811,304.117402,73,62,31,1
78216,10016,1,1,3,40.43103448,4.224138,2,7.526851852,281.8732103,24,58,75,1
138479,10016,1,3,0,47.80172414,5.12069,2,8.451129944,348.442436,52,58,36,1
155227,10016,0,1,0,44.10984848,4.651515,2,8.021052632,313.75231,69,66,78,1
198061,10016,1,2,3,39.70666667,4.026667,2,8.27109375,289.4844961,97,75,31,1
105012,10016,1,0,0,43.94354839,4.645161,2,7.531081081,316.1585459,76,62,30,1
73028,10016,0,1,4,40.63257576,4.560606,2,7.09140625,310.0480176,24,66,29,1
166167,10016,0,1,2,39.54545455,4.311688,2,7.486084906,339.4827346,23,77,22,1
134319,10016,0,3,0,40.3984375,4.3125,2,7.44241573,302.9145662,63,64,76,1
153971,10016,1,1,2,39.96666667,4.283333,2,7.801785714,262.0871852,69,60,81,1
72822,10016,2,3,0,37.27205882,4.132353,2,7.004278075,263.793474,41,68,20,1
174082,10016,0,1,2,37.375,3.789474,2,7.540053763,264.4979094,39,76,21,1
36282,10016,0,1,3,41.55,4.616667,2,7.631845238,264.8157274,51,60,17,1
25099,10016,0,0,0,47.53017241,5.051724,2,8.616374269,298.607809,45,58,66,1
20655,10016,1,0,0,44.55909091,4.618182,2,7.90443038,267.0522017,62,55,66,1
127149,10016,1,1,3,44.31730769,4.711538,2,8.452054795,269.4252991,47,52,47,1
138974,10016,0,3,0,39.79032258,4.064516,2,6.90480226,293.7900954,11,62,36,1
96274,10016,0,0,0,38.97619048,4,2,7.464739884,288.9377136,97,63,71,1
83516,10016,1,0,0,44.70833333,4.616667,2,7.642622951,318.1265239,162,60,48,1
45382,10016,1,1,0,41.14552239,4.80597,2,7.497969543,303.6726405,64,67,64,1
94170,10016,1,0,0,39.96923077,4.107692,2,7.626285714,280.6133426,140,65,17,1
